actor_name,birth_year,known_for,actor_role,actor_awards
Byom,none,"Lage Na Mon, Love Driver","Reparto,  Producción,  Dirección de la segunda unidad o asistencia a dirección",None
Aaron Jackson,1973,"Ghost Story Chronicles, Male Order","Reparto,  Producción,  Dirección","Global Shorts, Los Angeles"
Rose LaRue,none,"Forgiven, Love Song and Power","Reparto,  Assistant,  Guion y continuidad",None
Cassidy Reyes,none,"Que Dios no lo permita: el escándalo que acabó con una dinastía, The Red Tide Massacre","Reparto,  Producción",None
Becky Brown,none,"""Thats What Friends are For"", The Bermuda Triangle Project","Reparto,  Producción,  Casting",None
Deborah Smith Ford,none,"Mickey, Love Song and Power","Reparto,  Guion,  Producción","Fort Myers Beach Film Festival, IndieFEST Film Awards"
Adam Sandler,1966,"Little Nicky, El chico ideal","Reparto,  Producción,  Guion","American Comedy Awards, USA, Annie Awards"
Carey Mulligan,1985,"Shame, Drive","Reparto,  Producción,  Vestuario","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Paul Dano,1984,"Pequeña Miss Sunshine, 12 años de esclavitud","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Boston Society of Film Critics Awards"
Kunal Nayyar,1981,"Trolls, Ice Age 4: La formación de los continentes","Reparto,  Producción,  Equipo ejecutivo","BAFTA Awards, ""Peoples Choice Awards, USA"""
Isabella Rossellini,1952,"La muerte os sienta tan bien, Sin miedo a la vida","Reparto,  Dirección,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Berlin International Film Festival"
Cailey Fleming,2007,"The Walking Dead, Star Wars: El despertar de la Fuerza","Reparto,  Banda sonora","CinEuphoria Awards, Blue Whiskey Independent Film Festival"
Ryan Reynolds,1976,"Deadpool, Buried","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
John Krasinski,1979,"Un lugar tranquilo, The Office","Reparto,  Producción,  Dirección","Academy of Science Fiction, Fantasy & Horror Films, USA, Bram Stoker Awards"
Fiona Shaw,1958,"Harry Potter y la piedra filosofal, Los vengadores","Reparto,  Equipos adicionales,  Banda sonora","BAFTA Awards, British Independent Film Awards"
Steve Carell,1962,"Virgen a los 40, Foxcatcher","Reparto,  Producción,  Guion","Academy Awards, USA, American Comedy Awards, USA"
Gippy Grewal,1983,"Jatt James Bond, Manje Bistre","Reparto,  Producción,  Guion","Zee Cine Awards, PTC Punjabi Film Awards"
Gurpreet Ghuggi,1971,"Ardaas Karaan, Race","Reparto,  Música,  Guion",PTC Punjabi Film Awards
Karamjit Anmol,1972,"Manje Bistre, Mindo Taseeldarni","Reparto,  Música,  Producción",Filmfare Awards Punjabi
Raghveer Boli,1987,"Sheran Di Kaum Punjabi, Ik Sandhu Hunda Si",Reparto,None
Sharik Khan,1995,"Gunjan Saxena: La chica de Kargil, Radhe Shyam","Reparto,  Guion,  Dirección",None
Robyn Von Arx,none,"Enipheres, Murder Book","Producción,  Dirección,  Reparto","Park City Film Music Festival, Mesopotamia Film Festival"
Jamal Lloyd Johnson,none,"Dahmer - Monstruo: La historia de Jeffrey Dahmer, Déjame entrar","Reparto,  Producción,  Especialistas","Accolade Competition, Souq Film Festival"
Charles Arthur Berg,none,"EDtv, Cuentos de Halloween","Producción,  Dirección de producción,  Reparto",None
Mustafa Haidari,none,"FBI, SEAL Team","Reparto,  Equipos adicionales,  Especialistas","Nawada International Film Festival, Roshani International Film Festival"
Kathryn Melton,none,"Southland, Invasión",Reparto,"Nawada International Film Festival, Roshani International Film Festival"
Yihong Duan,1973,"The Looming Storm, Yin bao zhe","Reparto,  Producción","Golden Horse Film Festival, Golden Rooster Awards"
Pengyuan Shi,none,"Yin mi de jiao luo, Man chang de ji jie",Reparto,"Domestic TV series Ceremony, China, Iqiyi TV and Movie Awards"
Beibi Gong,none,"Hannan xia ri, Inseparable","Reparto,  Producción,  Banda sonora","Beijing Student Film Festival, Beijing Youth Film Festival"
Baoliang Sha,none,"Ni Hao Shen Qiang Shou, Men suo",Reparto,Huading Award
