id_imdb,best_movie,ceremony_year
tt0169547,American Beauty,2000
/tt0172495,Gladiator,2001
tt0268978,A Beautiful Mind,2002
tt0299658,Chicago,2003
tt0167260,The Lord of the Rings: The Return of the King,2004
tt0405159,Million Dollar Baby,2005
tt0375679,Crash,2006
tt0407887,The Departed,2007
tt0477348,No Country for Old Men,2008
tt1010048,Slumdog Millionaire,2009
tt0887912,The Hurt Locker,2010
tt1504320,The King's Speech,2011
tt1655442,The Artist,2012
tt1024648,Argo,2013
tt2024544,12 Years a Slave,2014
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2015
tt1895587,Spotlight,2016
tt4975722,Moonlight,2017
tt5580390,The Shape of Water,2018
tt6966692,Green Book,2019
tt6751668,Parasite,2020
tt9770150,Nomadland,2021
tt10366460,CODA,2022
tt6710474,Everything Everywhere All at Once,2023
tt15398776,Oppenheimer,2024
